code_module_x,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_assessment,number_of_assessments_taken,code_module_y,date_registration,date_unregistration,total_click_count,total_click_sum,total_click_average
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82,5,AAA,-159,,196,934,4.76530612244898
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,5,AAA,-53,,430,1435,3.3372093023255816
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,,,AAA,-92,12,76,281,3.6973684210526314
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76,5,AAA,-52,,663,2158,3.2549019607843137
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,5,AAA,-176,,352,1034,2.9375
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68,5,AAA,-110,,723,2445,3.3817427385892116
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68,5,AAA,-67,,355,1492,4.20281690140845
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,5,AAA,-29,,531,1428,2.689265536723164
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,5,AAA,-33,,593,1894,3.193929173693086
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,78,5,AAA,-179,,904,3158,3.493362831858407
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74,5,AAA,-103,,403,1319,3.272952853598015
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,5,AAA,-47,,526,1732,3.2927756653992395
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,5,AAA,-59,,345,1102,3.1942028985507247
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76,5,AAA,-68,,981,3388,3.45361875637105
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,5,AAA,-67,,760,2737,3.6013157894736842
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67,4,AAA,-180,96,56,176,3.142857142857143
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,5,AAA,-95,,205,1053,5.136585365853659
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,80.4,5,AAA,-130,,728,2327,3.1964285714285716
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10月20日,35-55,0,150,N,Fail,48.5,4,AAA,-50,,72,116,1.6111111111111112
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66,5,AAA,-107,,754,2992,3.9681697612732094
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4,5,AAA,-27,,271,680,2.5092250922509227
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8,5,AAA,-31,,496,1494,3.0120967741935485
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,65.33333333333333,6,AAA,-170,72,417,1240,2.973621103117506
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6,5,AAA,-107,,386,2839,7.3549222797927465
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4,5,AAA,-62,,243,744,3.0617283950617282
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6,5,AAA,-103,,913,4104,4.495071193866375
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78,5,AAA,-107,,781,1944,2.4891165172855314
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6,5,AAA,-100,,313,1150,3.6741214057507987
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,79.6,5,AAA,-109,,992,4777,4.815524193548387
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,60,3,AAA,5,175,145,465,3.206896551724138
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4,5,AAA,-107,,221,733,3.316742081447964
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4,5,AAA,-110,,343,998,2.9096209912536444
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,81,3,AAA,-43,,589,2343,3.9779286926994906
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6,5,AAA,-26,,1001,3553,3.5494505494505493
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,71.8,5,AAA,-29,,231,757,3.277056277056277
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8,5,AAA,-68,,510,1358,2.6627450980392156
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4,5,AAA,-68,,514,1886,3.669260700389105
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2,5,AAA,-32,,311,1108,3.562700964630225
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8,5,AAA,-99,,111,284,2.5585585585585586
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4,5,AAA,-82,,600,2041,3.401666666666667
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6,5,AAA,-31,,440,1321,3.0022727272727274
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,81,6,AAA,-197,135,537,1888,3.515828677839851
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4,5,AAA,-75,,152,520,3.4210526315789473
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,84.4,5,AAA,-96,,569,2732,4.801405975395431
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,,,AAA,-29,30,34,73,2.1470588235294117
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,53.142857142857146,7,AAA,-32,144,202,610,3.01980198019802
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,80.2,5,AAA,-195,,1409,5528,3.923349893541519
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,72.6,5,AAA,-61,,585,1823,3.1162393162393163
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,48.833333333333336,6,AAA,-110,129,250,756,3.024
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,73.6,5,AAA,-37,,631,2121,3.3613312202852614
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,68.8,5,AAA,-67,,1620,5645,3.484567901234568
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,54.4,5,AAA,-36,,149,452,3.033557046979866
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,50,5,AAA,-132,,192,597,3.109375
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,68.66666666666667,9,AAA,-92,,590,1718,2.911864406779661
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,52,1,AAA,-138,58,41,155,3.7804878048780486
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,79.5,8,AAA,-174,158,1272,3812,2.99685534591195
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,50,5,AAA,-44,,89,270,3.033707865168539
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,67,5,AAA,-16,,419,1529,3.649164677804296
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,79.8,5,AAA,-54,,963,4003,4.156801661474558
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,78.14285714285714,7,AAA,-64,191,806,2645,3.2816377171215882
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,70.6,5,AAA,-52,,386,1405,3.639896373056995
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,68.2,5,AAA,-46,123,648,2062,3.182098765432099
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,71.8,5,AAA,-64,,239,466,1.9497907949790796
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,69.4,5,AAA,-117,,515,1510,2.9320388349514563
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10月20日,35-55,0,60,N,Pass,66.4,5,AAA,-32,,302,745,2.466887417218543
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,69.6,5,AAA,-50,,697,1939,2.781922525107604
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,61.4,5,AAA,-45,,415,1782,4.293975903614458
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,80.4,5,AAA,-162,,1643,6318,3.8454047474132684
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,82.4,5,AAA,-195,,1311,4447,3.3920671243325704
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,78.2,5,AAA,-92,,437,2016,4.613272311212815
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,37.6,5,AAA,-57,,50,138,2.76
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,53.4,5,AAA,-64,,858,2012,2.344988344988345
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,76,1,AAA,-39,60,145,487,3.3586206896551722
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,54,5,AAA,-128,,547,1975,3.610603290676417
AAA,2013J,183947,M,London Region,A Level or Equivalent,10月20日,0-35,0,180,N,Pass,49,5,AAA,-32,,368,964,2.619565217391304
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,59.8,5,AAA,-74,,477,1312,2.750524109014675
AAA,2013J,185439,M,London Region,HE Qualification,10月20日,0-35,0,120,N,Fail,74,1,AAA,-12,,99,427,4.313131313131313
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,76,5,AAA,-109,,585,2136,3.651282051282051
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,89.2,5,AAA,-136,,1922,8562,4.454734651404786
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,71.66666666666667,6,AAA,-57,60,1491,4497,3.0160965794768613
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,79.4,5,AAA,-180,,442,1541,3.486425339366516
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,68.4,5,AAA,-62,,804,3219,4.003731343283582
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,50,1,AAA,-45,185,352,1905,5.411931818181818
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,54.4,5,AAA,-54,,280,534,1.9071428571428573
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,66.66666666666667,3,AAA,-73,166,297,1418,4.774410774410774
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,72.2,5,AAA,-68,,563,1665,2.9573712255772646
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,56.666666666666664,3,AAA,-51,,117,333,2.8461538461538463
AAA,2013J,227499,F,London Region,A Level or Equivalent,10月20日,35-55,0,60,N,Distinction,83.6,5,AAA,-169,,807,2953,3.6592317224287485
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,62.6,5,AAA,-172,,387,1205,3.1136950904392764
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,72.4,5,AAA,-31,,136,227,1.6691176470588236
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,61.8,5,AAA,-108,,166,445,2.680722891566265
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,66,5,AAA,-165,,163,614,3.766871165644172
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,78,5,AAA,-58,,349,1215,3.481375358166189
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,67.75,4,AAA,-29,,435,1839,4.227586206896552
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,57.833333333333336,6,AAA,-79,109,572,1257,2.1975524475524475
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,78,5,AAA,2,,210,732,3.4857142857142858
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,79.2,5,AAA,-151,,743,1935,2.6043068640646028
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,75.8,5,AAA,-45,,107,321,3
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,58.4,5,AAA,-47,,191,427,2.235602094240838
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,78.8,5,AAA,-50,,573,1892,3.3019197207678883
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,58.6,5,AAA,-31,,627,1829,2.917065390749601
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,77.4,5,AAA,-36,,263,658,2.5019011406844105
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,55.6,5,AAA,-16,,351,1174,3.3447293447293447
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,78.4,5,AAA,-198,,752,1969,2.6183510638297873
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,71.4,5,AAA,-103,,815,2580,3.165644171779141
AAA,2013J,256815,M,North Western Region,HE Qualification,10月20日,0-35,0,120,N,Pass,76.8,5,AAA,-117,,518,1481,2.859073359073359
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,58.8,5,AAA,-68,,299,844,2.822742474916388
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,64.8,5,AAA,-172,,1370,4963,3.6226277372262774
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,57.5,2,AAA,-186,170,134,426,3.1791044776119404
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,71,5,AAA,-145,,345,1066,3.0898550724637683
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,76.6,5,AAA,-191,,717,2407,3.3570432357043236
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10月20日,35-55,0,90,N,Fail,74.6,5,AAA,-33,,716,3210,4.483240223463687
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,43,2,AAA,-17,187,56,191,3.4107142857142856
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,76.4,5,AAA,-68,,639,3348,5.23943661971831
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,67.66666666666667,6,AAA,-108,177,477,2028,4.251572327044025
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,79.2,5,AAA,-138,,297,1183,3.983164983164983
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,73.4,5,AAA,-74,,183,492,2.6885245901639343
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,55.4,5,AAA,-64,,77,130,1.6883116883116882
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,,,AAA,-50,,28,59,2.107142857142857
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,60.6,5,AAA,-107,,478,1961,4.102510460251046
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,71,5,AAA,-8,,284,1046,3.683098591549296
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,67.8,5,AAA,-52,,144,483,3.3541666666666665
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,70.4,5,AAA,-96,,496,1740,3.5080645161290325
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,75,5,AAA,-141,,153,652,4.261437908496732
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,83.6,5,AAA,-132,,1879,5231,2.78392762107504
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,,,AAA,-162,-121,,,
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,46.75,4,AAA,-27,,114,187,1.6403508771929824
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,78.2,5,AAA,-80,,438,1775,4.052511415525114
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,52.8,5,AAA,-145,,256,865,3.37890625
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,71,17,AAA,-17,,1010,3099,3.0683168316831684
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,86.8,5,AAA,-115,,511,2152,4.211350293542075
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,80.8,5,AAA,-32,,201,514,2.557213930348259
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,78.8,5,AAA,-59,,580,1997,3.443103448275862
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,58.666666666666664,3,AAA,-83,,165,513,3.109090909090909
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,64,1,AAA,-18,,44,146,3.3181818181818183
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,78,5,AAA,-66,,368,1277,3.470108695652174
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,,,AAA,-54,-3,26,68,2.6153846153846154
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,58.2,5,AAA,-107,,322,987,3.0652173913043477
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,82,5,AAA,-58,,378,1220,3.2275132275132274
AAA,2013J,306897,F,London Region,A Level or Equivalent,10月20日,0-35,0,60,N,Pass,62.6,5,AAA,-123,,1112,2742,2.4658273381294964
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10月20日,0-35,0,60,N,Pass,81.2,5,AAA,-31,,401,1081,2.6957605985037407
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,60,4,AAA,-107,,377,1476,3.9151193633952253
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,59.2,5,AAA,-121,,696,2230,3.204022988505747
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,87.8,5,AAA,-79,,1835,12882,7.02016348773842
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,61.8,5,AAA,-59,,106,281,2.650943396226415
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,66.6,5,AAA,-100,,460,1281,2.784782608695652
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,78.4,5,AAA,-47,,1933,6589,3.4086911536471804
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,80.4,5,AAA,-67,,2133,10083,4.727144866385372
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,80.4,5,AAA,-32,,610,1901,3.1163934426229507
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10月20日,35-55,0,60,N,Pass,57.6,5,AAA,-165,,494,1961,3.9696356275303644
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,61.2,5,AAA,-32,,74,133,1.7972972972972974
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,84.66666666666667,6,AAA,-67,53,1717,6588,3.836924868957484
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,74.4,5,AAA,-64,,448,1655,3.6941964285714284
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,65.8,5,AAA,-103,,136,301,2.213235294117647
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,74.4,5,AAA,-53,,178,648,3.640449438202247
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,53,2,AAA,-32,,122,332,2.721311475409836
