code_module_x,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_assessment,number_of_assessments_taken,code_module_y,date_registration,date_unregistration,click_count_dataplus,click_count_dualpane,click_count_externalquiz,click_count_folder,click_count_forumng,click_count_glossary,click_count_homepage,click_count_htmlactivity,click_count_oucollaborate,click_count_oucontent,click_count_ouelluminate,click_count_ouwiki,click_count_page,click_count_questionnaire,click_count_quiz,click_count_repeatactivity,click_count_resource,click_count_sharedsubpage,click_count_subpage,click_count_url,click_sum_dataplus,click_sum_dualpane,click_sum_externalquiz,click_sum_folder,click_sum_forumng,click_sum_glossary,click_sum_homepage,click_sum_htmlactivity,click_sum_oucollaborate,click_sum_oucontent,click_sum_ouelluminate,click_sum_ouwiki,click_sum_page,click_sum_questionnaire,click_sum_quiz,click_sum_repeatactivity,click_sum_resource,click_sum_sharedsubpage,click_sum_subpage,click_sum_url,click_average_dataplus,click_average_dualpane,click_average_externalquiz,click_average_folder,click_average_forumng,click_average_glossary,click_average_homepage,click_average_htmlactivity,click_average_oucollaborate,click_average_oucontent,click_average_ouelluminate,click_average_ouwiki,click_average_page,click_average_questionnaire,click_average_quiz,click_average_repeatactivity,click_average_resource,click_average_sharedsubpage,click_average_subpage,click_average_url,total_click_count,total_click_sum,total_click_average
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82,5,AAA,-159,,0,0,0,0,52,0,40,0,0,78,0,0,0,0,0,0,11,0,11,4,0,0,0,0,193,0,138,0,0,553,0,0,0,0,0,0,13,0,32,5,0,0,0,0,3.7115384615384617,0,3.45,0,0,7.089743589743589,0,0,0,0,0,0,1.1818181818181819,0,2.909090909090909,1.25,196,934,4.76530612244898
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,5,AAA,-53,,3,0,0,0,163,0,80,0,0,106,0,0,0,0,0,0,9,0,42,27,10,0,0,0,417,0,324,0,0,537,0,0,0,0,0,0,12,0,87,48,3.3333333333333335,0,0,0,2.558282208588957,0,4.05,0,0,5.066037735849057,0,0,0,0,0,0,1.3333333333333333,0,2.0714285714285716,1.7777777777777777,430,1435,3.3372093023255816
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,,,AAA,-92,12,0,0,0,0,30,0,12,0,0,14,0,0,0,0,0,0,4,0,12,4,0,0,0,0,126,0,59,0,0,66,0,0,0,0,0,0,4,0,22,4,0,0,0,0,4.2,0,4.916666666666667,0,0,4.714285714285714,0,0,0,0,0,0,1,0,1.8333333333333333,1,76,281,3.6973684210526314
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76,5,AAA,-52,,1,0,0,0,197,1,121,0,0,196,0,0,0,0,0,0,13,0,83,51,2,0,0,0,634,1,432,0,0,836,0,0,0,0,0,0,19,0,144,90,2,0,0,0,3.218274111675127,1,3.5702479338842976,0,0,4.26530612244898,0,0,0,0,0,0,1.4615384615384615,0,1.7349397590361446,1.7647058823529411,663,2158,3.2549019607843137
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,5,AAA,-176,,0,0,0,0,77,3,68,0,0,115,0,0,0,0,0,0,23,0,53,13,0,0,0,0,194,4,204,0,0,494,0,0,0,0,0,0,45,0,79,14,0,0,0,0,2.5194805194805197,1.3333333333333333,3,0,0,4.2956521739130435,0,0,0,0,0,0,1.9565217391304348,0,1.490566037735849,1.0769230769230769,352,1034,2.9375
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68,5,AAA,-110,,1,0,0,0,286,2,142,0,0,197,0,0,0,0,0,0,8,0,54,33,7,0,0,0,875,4,512,0,0,900,0,0,0,0,0,0,11,0,91,45,7,0,0,0,3.0594405594405596,2,3.6056338028169015,0,0,4.568527918781726,0,0,0,0,0,0,1.375,0,1.6851851851851851,1.3636363636363635,723,2445,3.3817427385892116
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68,5,AAA,-67,,1,0,0,0,52,0,90,0,1,136,0,0,0,0,0,0,8,0,51,16,2,0,0,0,123,0,320,0,2,915,0,0,0,0,0,0,8,0,98,24,2,0,0,0,2.3653846153846154,0,3.5555555555555554,0,2,6.727941176470588,0,0,0,0,0,0,1,0,1.9215686274509804,1.5,355,1492,4.20281690140845
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,5,AAA,-29,,1,0,0,0,184,0,104,0,1,118,0,0,0,0,0,0,14,0,72,37,4,0,0,0,428,0,295,0,1,508,0,0,0,0,0,0,16,0,120,56,4,0,0,0,2.3260869565217392,0,2.8365384615384617,0,1,4.305084745762712,0,0,0,0,0,0,1.1428571428571428,0,1.6666666666666667,1.5135135135135136,531,1428,2.689265536723164
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,5,AAA,-33,,2,0,0,0,140,0,121,0,2,155,0,0,0,0,0,0,17,0,96,60,8,0,0,0,333,0,476,0,2,714,0,0,0,0,0,0,19,0,214,128,4,0,0,0,2.3785714285714286,0,3.9338842975206614,0,1,4.606451612903226,0,0,0,0,0,0,1.1176470588235294,0,2.2291666666666665,2.1333333333333333,593,1894,3.193929173693086
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,78,5,AAA,-179,,1,0,0,0,539,0,142,0,0,90,0,0,0,0,0,0,6,0,71,55,3,0,0,0,1974,0,394,0,0,575,0,0,0,0,0,0,6,0,124,82,3,0,0,0,3.6623376623376624,0,2.7746478873239435,0,0,6.388888888888889,0,0,0,0,0,0,1,0,1.7464788732394365,1.490909090909091,904,3158,3.493362831858407
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74,5,AAA,-103,,1,0,0,0,19,2,90,0,0,162,0,0,0,0,0,0,14,0,78,37,5,0,0,0,30,8,360,0,0,708,0,0,0,0,0,0,16,0,132,60,5,0,0,0,1.5789473684210527,4,4,0,0,4.37037037037037,0,0,0,0,0,0,1.1428571428571428,0,1.6923076923076923,1.6216216216216217,403,1319,3.272952853598015
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,5,AAA,-47,,3,0,0,0,86,0,120,0,1,194,0,0,0,0,0,0,5,0,67,50,8,0,0,0,229,0,488,0,2,811,0,0,0,0,0,0,6,0,110,78,2.6666666666666665,0,0,0,2.6627906976744184,0,4.066666666666666,0,2,4.180412371134021,0,0,0,0,0,0,1.2,0,1.6417910447761195,1.56,526,1732,3.2927756653992395
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,5,AAA,-59,,0,0,0,0,93,0,61,0,2,109,0,0,0,0,0,0,11,0,44,25,0,0,0,0,218,0,215,0,3,521,0,0,0,0,0,0,13,0,100,32,0,0,0,0,2.3440860215053765,0,3.5245901639344264,0,1.5,4.779816513761468,0,0,0,0,0,0,1.1818181818181819,0,2.272727272727273,1.28,345,1102,3.1942028985507247
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76,5,AAA,-68,,3,0,0,0,398,0,148,0,1,367,0,0,0,0,0,0,21,0,40,3,12,0,0,0,1255,0,513,0,1,1520,0,0,0,0,0,0,21,0,61,5,4,0,0,0,3.1532663316582914,0,3.4662162162162162,0,1,4.141689373297003,0,0,0,0,0,0,1,0,1.525,1.6666666666666667,981,3388,3.45361875637105
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,5,AAA,-67,,3,0,0,0,193,0,174,0,0,198,0,0,0,0,0,0,8,0,103,81,25,0,0,0,411,0,543,0,0,1419,0,0,0,0,0,0,8,0,204,127,8.333333333333334,0,0,0,2.1295336787564767,0,3.1206896551724137,0,0,7.166666666666667,0,0,0,0,0,0,1,0,1.9805825242718447,1.5679012345679013,760,2737,3.6013157894736842
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67,4,AAA,-180,96,0,0,0,0,5,0,13,0,0,24,0,0,0,0,0,0,2,0,11,1,0,0,0,0,12,0,43,0,0,100,0,0,0,0,0,0,2,0,18,1,0,0,0,0,2.4,0,3.3076923076923075,0,0,4.166666666666667,0,0,0,0,0,0,1,0,1.6363636363636365,1,56,176,3.142857142857143
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,5,AAA,-95,,1,0,0,0,38,1,46,0,1,78,0,0,0,0,0,0,8,0,22,10,1,0,0,0,91,2,254,0,2,610,0,0,0,0,0,0,12,0,56,25,1,0,0,0,2.3947368421052633,2,5.521739130434782,0,2,7.82051282051282,0,0,0,0,0,0,1.5,0,2.5454545454545454,2.5,205,1053,5.136585365853659
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,80.4,5,AAA,-130,,1,0,0,0,213,0,131,0,1,206,0,0,0,0,0,0,32,0,90,54,3,0,0,0,822,0,390,0,1,853,0,0,0,0,0,0,49,0,129,80,3,0,0,0,3.859154929577465,0,2.9770992366412212,0,1,4.140776699029126,0,0,0,0,0,0,1.53125,0,1.4333333333333333,1.4814814814814814,728,2327,3.1964285714285716
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10月20日,35-55,0,150,N,Fail,48.5,4,AAA,-50,,0,0,0,0,10,0,14,0,0,30,0,0,0,0,0,0,1,0,15,2,0,0,0,0,14,0,34,0,0,43,0,0,0,0,0,0,1,0,22,2,0,0,0,0,1.4,0,2.4285714285714284,0,0,1.4333333333333333,0,0,0,0,0,0,1,0,1.4666666666666666,1,72,116,1.6111111111111112
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66,5,AAA,-107,,3,0,0,0,235,0,122,0,0,246,0,0,0,0,0,0,32,0,82,34,12,0,0,0,756,0,602,0,0,1349,0,0,0,0,0,0,42,0,176,55,4,0,0,0,3.217021276595745,0,4.934426229508197,0,0,5.483739837398374,0,0,0,0,0,0,1.3125,0,2.1463414634146343,1.6176470588235294,754,2992,3.9681697612732094
